setting,member,weight
mixed_analog_t25__importance__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.4839778546685083
mixed_analog_t25__importance__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3061575063216049
mixed_analog_t25__importance__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.10041714955203246
mixed_analog_t25__importance__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.058516335293451016
mixed_analog_t25__importance__l2_0p1,tabpfn_pooled_boltz_umap_default,0.03239888826296721
mixed_analog_t25__importance__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.018532265901436258
mixed_analog_t25__importance__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,4.7843808992711905e-18
mixed_analog_t25__importance__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,2.374275702801167e-18
mixed_analog_t25__importance__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
mixed_analog_t25__importance__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.38829091973095126
mixed_analog_t25__importance__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3075129585199041
mixed_analog_t25__importance__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13562938161921656
mixed_analog_t25__importance__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.09463354492870368
mixed_analog_t25__importance__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03872548141116846
mixed_analog_t25__importance__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.027657655561949865
mixed_analog_t25__importance__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.007550058228106098
mixed_analog_t25__importance__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,4.21314187964289e-18
mixed_analog_t25__importance__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
mixed_analog_t25__importance__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.33673666351002784
mixed_analog_t25__importance__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2960981166320114
mixed_analog_t25__importance__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1478365726664454
mixed_analog_t25__importance__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10602345767462736
mixed_analog_t25__importance__l2_1p0,tabpfn_pooled_boltz_umap_default,0.043648904858755215
mixed_analog_t25__importance__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03278864987418782
mixed_analog_t25__importance__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.02949554178137342
mixed_analog_t25__importance__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.007372093002571544
mixed_analog_t25__importance__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,7.627002294432939e-19
mixed_analog_t25__importance__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31892072257123244
mixed_analog_t25__importance__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2910358457714811
mixed_analog_t25__importance__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.15056544395076138
mixed_analog_t25__importance__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.10925081633695712
mixed_analog_t25__importance__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04498040190916912
mixed_analog_t25__importance__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.0368726588850615
mixed_analog_t25__importance__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.0342030697880991
mixed_analog_t25__importance__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.014171040787238272
mixed_analog_t25__importance__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,6.783675116322878e-19
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.5406264549232913
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.30250113023790387
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.08320179282130535
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.030560008290734655
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.022265734500320048
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_pooled_boltz_umap_default,0.020844879226444787
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,0.0
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
mixed_analog_t25__importance_x_potent46__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.4111117600533821
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3098914865783294
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13057700035237726
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.08459728984983149
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03611491535520711
mixed_analog_t25__importance_x_potent46__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.0277075478108727
