rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
1,W1175,2026-04-20 01:02 UTC,,0.4101922704449726,0.0296602187259086,0.5150149925894453,0.0266617343252876,0.6386150351199771,0.0399507415381863,0.8505209709436403,0.0209666605471327,0.6631831229060184,0.0220610240471437,No
2,Yan,2026-04-20 04:57 UTC,,0.410257482431715,0.0296318552547001,0.5150922648454054,0.0265183956826286,0.6388760441276176,0.0398461692188471,0.8511093703800169,0.0209523006611346,0.6646317174246794,0.0220110261975058,No
3,Ray_art,2026-04-20 05:14 UTC,,0.4103534024305602,0.0296424189690186,0.5152184176933455,0.0266444791114766,0.6387047084877976,0.0399657287731995,0.850263142532283,0.0210301017726029,0.6631443184629745,0.0220326736570627,No
4,sia,2026-04-20 00:39 UTC,,0.4160356589228126,0.0296841560491682,0.5224555933612641,0.0283443672886745,0.6397360773736478,0.038726362222684,0.8467258420055941,0.0194656863875875,0.6573260567402359,0.0215206602803314,No
5,nova,2026-04-19 14:01 UTC,,0.4217730955980324,0.0294864556801032,0.529724382272018,0.0290102236824503,0.6354822703092836,0.0417345083509091,0.8352965989667668,0.0209999216060185,0.6446157188549693,0.0230697721430271,No
6,discoverybytes,2026-04-18 23:53 UTC,,0.4295709577075099,0.0305543873998496,0.539280610659328,0.0256665992593626,0.6192085290836596,0.0354611267963275,0.8423557737838024,0.0200845571299346,0.6501798060840592,0.0218957462934802,No
7,Zoboomafoo83,2026-04-17 02:25 UTC,,0.4367770071833992,0.0303512589108985,0.548450457497609,0.0272483934101563,0.611150648247876,0.0402750563802431,0.831518547293007,0.0211007523751803,0.6374300422179866,0.0219803959432829,No
8,suspenders,2026-04-20 05:13 UTC,,0.4381270591705394,0.0315235959446525,0.5502295504936908,0.0309117941249752,0.5898819990549145,0.0441485672794024,0.8267588249581121,0.0209264256327082,0.6302973232671633,0.0226610769130836,No
9,matcha-croissant,2026-04-16 20:54 UTC,,0.4420351447601846,0.0304535612972784,0.5550098898526081,0.0262343182604924,0.6052429324004704,0.0402922472614734,0.8266007519615304,0.0229027375252142,0.6360994018038348,0.0241911474180135,No
10,N283T,2026-04-20 06:24 UTC,,0.4430377590818476,0.0288901579686567,0.5564702747284114,0.0278656617664403,0.621061377972387,0.0367920411173506,0.8393054268991101,0.0200850382970362,0.6449742167716205,0.0214357353922047,No
11,jordanshivers,2026-04-19 15:09 UTC,,0.4482959244176447,0.0319459405222422,0.562890783694118,0.0291041121317489,0.5851865178979065,0.0406888753169787,0.8081443297773702,0.0239966394039469,0.6215977005609992,0.0245803346872053,No
12,histidine,2026-04-19 18:53 UTC,,0.449088268580054,0.0303507251111886,0.5642977848844488,0.0339083520184907,0.6040368973559165,0.0500730723992969,0.8167496158489133,0.0231417194088373,0.6271239808828738,0.0245411774570545,No
13,MirthEngine,2026-04-06 20:27 UTC,,0.4575175350952777,0.0295031604348893,0.5746094965024856,0.0271511685178394,0.6018197162461709,0.0342007767454697,0.8024179426374063,0.022089465784856,0.5975313312271993,0.0221381458341785,No
14,Ky,2026-04-08 16:44 UTC,,0.4577310038083149,0.0301312025118286,0.5748110513749638,0.0268211675599001,0.5952657885822801,0.0364624836120371,0.8140311429746621,0.0248150775905399,0.621873225345525,0.0250031464934665,No
15,kimiai2,2026-04-14 18:34 UTC,,0.4618452993063242,0.0343702704399536,0.5797420980804204,0.0292725279450543,0.5355074760343158,0.0506493582583993,0.8049198849398519,0.0243586987591956,0.6124920001233043,0.0249572440835897,No
16,Koala,2026-04-20 01:08 UTC,,0.4656023730410475,0.0326460377771133,0.5845889511817519,0.0286426650821981,0.5506774366670186,0.0479422765120687,0.78545407432098,0.0253421709373189,0.5901063072606118,0.0249050098262985,No
17,Asidsal11,2026-04-15 12:52 UTC,,0.4666856343873518,0.0340577733270998,0.5857323133200694,0.0264628652595735,0.5347440775147251,0.0460099510892326,0.8094055663089944,0.0225745385143063,0.6107021604638935,0.0231745157859706,No
18,Mirabel,2026-04-09 14:17 UTC,,0.4727367311136901,0.0340096042810558,0.5934617248786838,0.0288714499317896,0.5170141268957059,0.0474045037240174,0.7978710406887928,0.0221509901236955,0.5966699519334158,0.02344428337928,No
19,Radi,2026-04-20 04:21 UTC,exp35,0.4758027096349023,0.0334077793361796,0.5974749801406675,0.030902867332511,0.5314446049863515,0.0435130603312347,0.7897581629149595,0.0244293061544027,0.5883617404524266,0.0245742103722037,No
20,vertical,2026-04-17 17:14 UTC,,0.4767052068636364,0.031521463717101,0.5987688880922195,0.0307452679447958,0.5664901279880012,0.0394676660090372,0.782232380197406,0.0271201984577255,0.5886518936125493,0.0262261767949732,No
21,Uncertain-Tea,2026-04-19 14:58 UTC,,0.4771150073749934,0.0339049975849485,0.598836028294654,0.025515445271679,0.5257037194823165,0.0443195442154013,0.7993024220849094,0.0262878952743391,0.6075064982051493,0.0247801639621693,No
22,graveship,2026-04-17 15:54 UTC,,0.4778245707569171,0.0317485742067157,0.6000115396268937,0.0277323368506083,0.5542856868176953,0.0370953372843739,0.7884291104263238,0.026548097816122,0.5927238986341122,0.0260936777207159,No
23,TakuyaPKPD,2026-04-12 05:53 UTC,,0.4811349441194987,0.030571646299153,0.6044241874748846,0.0309218104670165,0.5623124147823944,0.0434603061411973,0.8028529494575757,0.0235189530072714,0.6059331138756798,0.0233134118341786,No
24,N1NC1O,2026-04-01 23:28 UTC,,0.4814876602248241,0.0334174387874154,0.6046688820720472,0.0317629241476804,0.5200284743142642,0.0406688357322235,0.7894870205272405,0.0265874798949977,0.6050090299722675,0.0259532629488907,No
25,karlfeyerabend,2026-04-20 02:22 UTC,,0.4819326131702643,0.0356546048074992,0.6048676931100223,0.0283918473689572,0.5040785714566156,0.0501227718285563,0.8052584430807543,0.022364167607388,0.6081398512505636,0.0235007813015405,No
26,rchshtr-key,2026-04-20 00:05 UTC,,0.482140443357144,0.0356704321355573,0.6051281123066347,0.0283949568903027,0.5036706219226388,0.0501502517855006,0.8054729525991323,0.0223851478091961,0.6084029574958046,0.0235092814996949,No
27,asidsal11,2026-04-15 14:31 UTC,,0.4840013403162055,0.0341671123589051,0.6074707468578613,0.025235373574709,0.5164987590071565,0.044160800908484,0.81757265384127,0.0214688131773791,0.6191927571785057,0.0227423512765971,No
28,soriniX,2026-04-14 21:14 UTC,,0.4889812572505929,0.0286610135878294,0.6144469136972134,0.0310655186622687,0.5849251938317991,0.0352082829766161,0.8054652926892739,0.0236706187896604,0.6067589917490034,0.0240785141366926,No
29,myco,2026-04-18 15:34 UTC,,0.4909341692941728,0.0352379183290829,0.6161385294121247,0.0258776953200901,0.4961793510810747,0.0461957496133695,0.8045815737059319,0.0234468370715326,0.6068746940646473,0.0233651257352069,No
30,MM-2092,2026-04-16 04:59 UTC,,0.4970927526771282,0.0364270453965437,0.6239994744930436,0.0308872241022007,0.4734195305662093,0.0505827309178578,0.7694206132729413,0.0273166617249407,0.5708410320036582,0.0261492463947669,No
31,DMakarov,2026-04-08 13:52 UTC,,0.4990550316205534,0.0352792809167368,0.6263753137983503,0.0264661072571277,0.4888716651859076,0.0464305099761723,0.785569712604825,0.023658361193637,0.5859176189335912,0.0236771577479814,No
32,TangerineTrees,2026-04-18 03:33 UTC,,0.4993417085944664,0.0299786699705639,0.6273048938013221,0.0295065020239177,0.5515680703119831,0.03663355012287,0.7853992376900152,0.0253421980092817,0.5836794861264083,0.0241165361115254,No
33,ubiqtuitin,2026-04-16 21:53 UTC,,0.5080327788442229,0.0327648041644234,0.6380020826454038,0.0290490376952021,0.5064194050996575,0.0392468917038473,0.7770449384164196,0.0253588148211262,0.5743628755380552,0.0252892654213328,No
34,shelby,2026-04-19 00:39 UTC,,0.5101448566090085,0.0385964430273626,0.6399918332382549,0.0252682927843675,0.4352534162625835,0.0461012705188328,0.809792690523157,0.0220590175638899,0.6128665462056776,0.0227457363845948,No
35,FoundationAll,2026-04-19 06:58 UTC,,0.5120711632162055,0.0332463934387763,0.6430704062876741,0.0296653524623983,0.5121222186627887,0.0460226195110266,0.7542995452045044,0.0284072140803835,0.5574756305506627,0.0267489860903136,No
36,Queimo,2026-04-03 12:46 UTC,,0.5132054746806324,0.0347575871879365,0.6444109686051583,0.030493424792823,0.4650289763125934,0.0497070718554661,0.7584285202053321,0.0288495887895488,0.564720531535556,0.0273330979906366,No
37,luke,2026-04-14 21:28 UTC,,0.5152580701719369,0.0328613409209067,0.6474226628120756,0.0358247613633648,0.4957157931907317,0.0568987425580381,0.713433752658599,0.0348145416443902,0.5280596092969996,0.0304976031389331,No
38,axelrolov,2026-04-04 07:32 UTC,https://github.com/AxelRolov/moltabfm_pxr,0.519259768331098,0.0356760263546931,0.6519047133931806,0.029494466793431,0.4557975321121896,0.0474589835255235,0.7615272265599938,0.0281166403883403,0.5630099370140454,0.0264415907653938,No
39,mp-sabrina,2026-04-18 15:34 UTC,,0.5236757904043479,0.0364844174910228,0.6573833664706966,0.0290617243969521,0.4428797021673394,0.0458806368692504,0.7335932116244319,0.0313568712442842,0.5364001620277029,0.0279262215712369,No
40,,2026-04-19 12:36 UTC,,0.5247786355201581,0.0340839474036872,0.6589955682624529,0.0294702757151985,0.4765914094223398,0.0402101070040809,0.7767034909464353,0.0238844211817509,0.5731237428302379,0.0240810959866464,No
41,modeling1213,2026-04-16 22:02 UTC,,0.5254433552218154,0.0349198906105517,0.6598030067864643,0.0305327558759363,0.4757037170733961,0.0424301990125901,0.7519627423363747,0.0282374026674775,0.5520153024101767,0.02617068387779,No
42,zipper,2026-04-20 03:07 UTC,,0.5261994239794467,0.0388085133993061,0.6604427851701391,0.0311535920299396,0.4106642371392298,0.0559825670862706,0.7587284569457805,0.0297771771808274,0.5654258961180524,0.027647790948423,No
43,adme-learning,2026-04-07 12:09 UTC,,0.5295422740043478,0.0357092113735512,0.6648458062251789,0.0293753058786218,0.446318252592094,0.047475020877748,0.7264235608066396,0.0300851376018927,0.5275376063279803,0.0271588099871198,No
44,MolTabICL,2026-04-02 16:05 UTC,,0.530763709115415,0.0352333059679614,0.6666208123987409,0.033749127176139,0.4442627119666897,0.0457805023000933,0.7484485580046137,0.0289021497664345,0.5454745354704065,0.0268523539236386,No
45,SystemsCBLab,2026-04-13 09:33 UTC,,0.5314602520695653,0.0342554656693086,0.6674371393773212,0.0306924584179889,0.4650857949333046,0.0460942153564955,0.7738163411181254,0.0254917188191929,0.5718043841391771,0.0251739278830951,No
46,North Coil,2026-04-17 11:13 UTC,,0.5324042201857708,0.0372420225945347,0.6681967184477613,0.026440850695936,0.4244847703613838,0.0472717821775109,0.7569402913079276,0.0264971480491931,0.5666697212439633,0.0255752355002356,No
47,JacksonBurns,2026-04-16 13:28 UTC,https://github.com/JacksonBurns/openadmet_pxr/tree/5727d683b58c63849890d6feca34a7acef57b860,0.5338092345096739,0.0331411846430018,0.6702261277638267,0.024579080952719,0.482641447957799,0.0341734592789846,0.7938185781590162,0.0251947837103365,0.597023438307316,0.0248262417690832,No
48,paracelsus,2026-04-17 09:00 UTC,,0.5350651843951907,0.0349684816503144,0.6719465476766845,0.0313858359276635,0.4483537713827679,0.0465291485415414,0.7553840338779906,0.0277704012920383,0.5543813803986277,0.0263257656212318,No
49,interstellar-explorer,2026-04-13 23:12 UTC,,0.5418347069542088,0.0385085644614876,0.6800690766738261,0.0291739074910895,0.4040423829586642,0.0519447749807773,0.7389306159033603,0.0300446103479561,0.545893256335776,0.0275005364284949,No
50,Ensemble,2026-04-19 13:18 UTC,,0.5418496852297726,0.0364526716286574,0.6803280881194755,0.0305461027091546,0.4215818810882382,0.0452334830181556,0.7269107301035825,0.0292856672987709,0.5266005476553548,0.0262721794993459,No
51,ranga_31489,2026-04-12 22:11 UTC,https://github.com/quantumdolphin/OPENADMET-PXR-activity-pred/blob/c02fd2a86421f9a808327071c2a9d7894aaa4d02/METHOD_REPORT.md,0.5443146182699605,0.036339216913922,0.6835232366601273,0.0323764658030651,0.4194865227708032,0.050490619412348,0.7255509311092441,0.0294029451182141,0.5266760055948212,0.0268101272066797,No
52,ranga31489,2026-04-12 23:37 UTC,https://github.com/quantumdolphin/OPENADMET-PXR-activity-pred/blob/c02fd2a86421f9a808327071c2a9d7894aaa4d02/METHOD_REPORT.md,0.5443146182699605,0.036339216913922,0.6835232366601273,0.0323764658030651,0.4194865227708032,0.050490619412348,0.7255509311092441,0.0294029451182141,0.5266760055948212,0.0268101272066797,No
