rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
78,CanaryGumball,2026-04-01 11:29 UTC,xgb_ecfp4_baseline,0.5918019433173913,0.0424947814927439,0.7426798844702922,0.0303411660601489,0.2750913738585101,0.0531107344726009,0.6141302362531226,0.046322542070093,0.4435360810331316,0.0369688956321888,No
79,molecfp12,2026-04-20 04:16 UTC,,0.5927515723584981,0.0387764755798987,0.7446285603797858,0.0395983914317206,0.3327978931086745,0.055258659084556,0.6963735245330421,0.0339195437116585,0.5038945742866149,0.029395400772114,No
80,asafrastyan,2026-04-16 20:37 UTC,,0.594886138339921,0.039235737130574,0.7468323182817322,0.0299586988259252,0.327151329650941,0.0484292972079953,0.6594264960023083,0.0367599272684189,0.4678735755632771,0.0307642133225508,No
81,wintermute277,2026-04-11 16:42 UTC,,0.5967957441880498,0.0351056917302089,0.7501939065672072,0.043160166812747,0.3744736894163938,0.0555571245085993,0.663533407798754,0.0389898643513765,0.4748482031089048,0.0328804199040392,No
82,Maple_ma,2026-04-08 16:10 UTC,,0.6020890174283505,0.0343768917489847,0.7567940186272358,0.0412059303017761,0.3698058605921783,0.0526381362830455,0.6767291035515538,0.0343430823218444,0.478584113227658,0.0294632584403456,Yes
83,wangxi,2026-04-19 10:08 UTC,,0.6102618022937049,0.0359846996665727,0.7667542863270809,0.0372807034590616,0.3506543002144969,0.0430898572554255,0.6721206982002492,0.0338739719707316,0.4803249519957243,0.0289993029543271,No
84,pz-hug,2026-04-12 02:45 UTC,multi-task-#1,0.6196398390490119,0.0326536608640121,0.7788567358782797,0.0390576367058996,0.3868450707586501,0.0375234488769819,0.6565586800131006,0.0370984911929321,0.4685919909270877,0.0307491723072908,No
85,merchant,2026-04-16 15:59 UTC,,0.6203484107454748,0.0361902452871183,0.7794944706606162,0.0387770436630262,0.3268750216484192,0.0487475329015962,0.6594046948875112,0.0359152094730366,0.4650132203917131,0.0299644179968538,No
86,jaybirdy,2026-04-14 15:39 UTC,,0.6270638315217392,0.0387883170965964,0.7875117904170893,0.0336640820550347,0.2985075930575473,0.0494038349401651,0.6450816098616476,0.03789537879165,0.4592850767055914,0.0310508818965886,No
87,haleemiliyash,2026-04-11 14:07 UTC,,0.6371449486166008,0.0299486727102815,0.8015111813241835,0.0477882453926306,0.3969958497348052,0.0483785839617462,0.7067157752374417,0.0324695513392138,0.5084207225098677,0.0287844191509359,Yes
88,APML-team,2026-04-03 12:50 UTC,,0.6434600971181819,0.0357879157501794,0.808394148097591,0.0343351863817124,0.3114433893217775,0.0367285939443618,0.623453668416836,0.0399997227713311,0.43452727770256,0.0325192041960336,No
89,Gashaw,2026-04-20 11:45 UTC,,0.6649760469598264,0.0481048362453793,0.8340556749774495,0.0212201975448111,0.0609315201964743,0.0520723284451705,0.6269072529243301,0.0384892949436894,0.4422744844039424,0.030611969792062,No
90,bekirpashaliev,2026-04-19 22:48 UTC,,0.6825260290488016,0.0415753150409595,0.8567185996464238,0.0215835695670261,0.1622437119721679,0.0312377882261764,0.6454946531965301,0.0351807579057141,0.4490371081874056,0.0286184345493642,No
91,GA,2026-04-10 01:42 UTC,,0.6864494204337837,0.0472807914258008,0.8614494952762214,0.0302942310037346,0.0612713357264237,0.0585171427656504,0.5336397394850245,0.0472434089835692,0.3712508538215048,0.0355089116075638,No
92,AnKA81,2026-04-20 09:42 UTC,,0.7096739328063242,0.0397242910796063,0.8913100024493047,0.0312026189480475,0.1622898266747265,0.0328010026822598,0.4318087473380785,0.054972737796155,0.3025462814360415,0.0403291185960567,No
93,pxr1,2026-04-20 03:23 UTC,,0.7090898319490119,0.0309979416137804,0.8921057053445973,0.0526186804231994,0.2969472194150462,0.0502541011242627,0.7163499664250534,0.0317396882347055,0.5186791687855502,0.0279906926661621,No
94,KNIMEST,2026-04-19 16:06 UTC,,0.7585868353332856,0.0377521832052456,0.9539035806860672,0.0523884145925961,0.1070838724238836,0.0670207133549455,0.4547392065789986,0.0476396727531794,0.3107061235794765,0.0340709744228066,No
95,asiom,2026-04-09 19:08 UTC,,0.7612823410774704,0.0363720062932077,0.9570885928813416,0.0470261343465238,0.1365798476775612,0.0556379625337796,0.4260633679598326,0.053864561058375,0.2976376200230843,0.0392776263775851,No
96,StanleysFamily,2026-04-18 02:51 UTC,,0.7758393745777414,0.03976212170414,0.9747023436350852,0.0354409118235858,0.0519700478492954,0.0339475130488582,0.2403015943964226,0.0615219367666816,0.1631103003389105,0.0425200906398197,Yes
97,lavibaweja,2026-04-20 01:27 UTC,,0.7981812377146246,0.0305938256734703,1.0048986410395622,0.0670831348779165,0.1771612082078521,0.0699505700204215,0.743959879385228,0.0289977147224561,0.543178740510349,0.0268921809153724,No
